attempted_iteration,successful_optimizer_steps,processed_nimg,processed_kimg,loss,grad_scale,step_skipped,schedule,stage,next_loop_cur_tick,loss_ema,loss_reference,correction,signal_updates,adaptive_active,r_over_t_mean,gap_mean,elapsed_sec,peak_vram_gb
73,64,9344.0,9.344000,25.94698739,128,0,adaptive_v1,0,1,27.4668169943,16.2829611748,-0.0239951939198,18,1,0.962454944628,0.0375450553724,65.201348,2.502289
74,65,9472.0,9.472000,28.92313361,128,0,adaptive_v1,0,1,27.4668169943,16.2829611748,-0.0239951939198,18,1,0.961856657077,0.0381433429231,65.957515,2.502289
75,66,9600.0,9.600000,31.81356645,128,0,adaptive_v1,0,1,27.6787746066,16.2829611748,-0.0242899411512,19,1,0.96128811036,0.0387118896398,66.702927,2.502289
76,67,9728.0,9.728000,29.64898729,128,0,adaptive_v1,0,1,27.6787746066,16.2829611748,-0.0242899411512,19,1,0.961064767836,0.0389352321641,67.466197,2.502289
77,68,9856.0,9.856000,31.84807062,128,0,adaptive_v1,0,1,27.6787746066,16.2829611748,-0.0242899411512,19,1,0.960594076777,0.0394059232231,68.229060,2.502289
78,69,9984.0,9.984000,31.91280270,128,0,adaptive_v1,0,1,27.6787746066,16.2829611748,-0.0242899411512,19,1,0.960715946995,0.0392840530048,68.988792,2.502289
79,70,10112.0,10.112000,30.98424244,128,0,adaptive_v1,0,1,28.0207497222,16.2829611748,-0.0247562104688,20,1,0.960922194984,0.0390778050155,69.732344,2.502289
80,71,10240.0,10.240000,28.69463515,128,0,adaptive_v1,0,1,28.0207497222,16.2829611748,-0.0247562104688,20,1,0.960731244336,0.0392687556637,70.480608,2.502289
81,72,10368.0,10.368000,31.19649458,128,0,adaptive_v1,0,1,28.0207497222,16.2829611748,-0.0247562104688,20,1,0.960336801412,0.0396631985877,71.232843,2.502289
82,73,10496.0,10.496000,28.40584731,128,0,adaptive_v1,0,1,28.0207497222,16.2829611748,-0.0247562104688,20,1,0.960970470454,0.0390295295464,71.990051,2.502289
83,74,10624.0,10.624000,29.21445751,128,0,adaptive_v1,0,1,28.1564606139,16.2829611748,-0.0249381286666,21,1,0.961033418323,0.0389665816768,72.760911,2.502289
84,75,10752.0,10.752000,29.84328389,128,0,adaptive_v1,0,1,28.1564606139,16.2829611748,-0.0249381286666,21,1,0.960373921817,0.0396260781829,73.512583,2.502289
85,76,10880.0,10.880000,28.58314419,128,0,adaptive_v1,0,1,28.1564606139,16.2829611748,-0.0249381286666,21,1,0.96066914388,0.0393308561201,74.260066,2.502289
86,77,11008.0,11.008000,32.92602134,128,0,adaptive_v1,0,1,28.3858961997,16.2829611748,-0.0252417286374,22,1,0.959455152912,0.0405448470876,75.030391,2.502289
87,78,11136.0,11.136000,29.46321082,128,0,adaptive_v1,0,1,28.3858961997,16.2829611748,-0.0252417286374,22,1,0.960304184977,0.0396958150228,75.793289,2.502289
88,79,11264.0,11.264000,29.86178303,128,0,adaptive_v1,0,1,28.3858961997,16.2829611748,-0.0252417286374,22,1,0.959890102761,0.0401098972385,76.555132,2.502289
89,80,11392.0,11.392000,30.37560129,128,0,adaptive_v1,0,1,28.3858961997,16.2829611748,-0.0252417286374,22,1,0.959942229353,0.040057770647,77.322162,2.502289
90,81,11520.0,11.520000,30.00964117,128,0,adaptive_v1,0,1,28.5400624875,16.2829611748,-0.0254429754712,23,1,0.960074710596,0.0399252894039,78.095394,2.502289
91,82,11648.0,11.648000,27.35222626,128,0,adaptive_v1,0,1,28.5400624875,16.2829611748,-0.0254429754712,23,1,0.960526894922,0.0394731050784,78.865555,2.502289
92,83,11776.0,11.776000,27.63838315,128,0,adaptive_v1,0,1,28.5400624875,16.2829611748,-0.0254429754712,23,1,0.96023076505,0.0397692349504,79.636715,2.502289
93,84,11904.0,11.904000,30.00267339,128,0,adaptive_v1,0,1,28.5400624875,16.2829611748,-0.0254429754712,23,1,0.959920715411,0.0400792845892,80.391545,2.502289
94,85,12032.0,12.032000,27.29037952,128,0,adaptive_v1,0,1,28.4931477968,16.2829611748,-0.0253819657533,24,1,0.960374724676,0.0396252753243,81.141696,2.502289
95,86,12160.0,12.160000,28.18318200,128,0,adaptive_v1,0,1,28.4931477968,16.2829611748,-0.0253819657533,24,1,0.96050415772,0.0394958422802,81.891331,2.502289
96,87,12288.0,12.288000,28.11541748,128,0,adaptive_v1,0,1,28.4931477968,16.2829611748,-0.0253819657533,24,1,0.960075936977,0.0399240630232,82.702400,2.502289
97,88,12416.0,12.416000,24.86192584,128,0,adaptive_v1,0,1,28.4931477968,16.2829611748,-0.0253819657533,24,1,0.961381329955,0.0386186700453,83.474302,2.502289
98,89,12544.0,12.544000,28.79258776,128,0,adaptive_v1,0,1,28.3926608441,16.2829611748,-0.0252506052537,25,1,0.959917168843,0.0400828311575,84.216097,2.502289
99,90,12672.0,12.672000,30.40980554,128,0,adaptive_v1,0,1,28.3926608441,16.2829611748,-0.0252506052537,25,1,0.959787005494,0.0402129945057,84.968122,2.502289
100,91,12800.0,12.800000,30.19100571,128,0,adaptive_v1,0,1,28.3926608441,16.2829611748,-0.0252506052537,25,1,0.959805124192,0.0401948758079,85.734135,2.502289
101,92,12928.0,12.928000,27.08267021,128,0,adaptive_v1,0,1,28.3926608441,16.2829611748,-0.0252506052537,25,1,0.96042191127,0.0395780887302,86.519548,2.502289
102,93,13056.0,13.056000,30.94253778,128,0,adaptive_v1,0,1,28.5190452406,16.2829611748,-0.0254156688372,26,1,0.959817264743,0.0401827352573,87.326246,2.502289
103,94,13184.0,13.184000,28.20926380,128,0,adaptive_v1,0,1,28.5190452406,16.2829611748,-0.0254156688372,26,1,0.96006936166,0.0399306383402,88.091506,2.502289
104,95,13312.0,13.312000,26.86908793,128,0,adaptive_v1,0,1,28.5190452406,16.2829611748,-0.0254156688372,26,1,0.960484665594,0.0395153344064,88.878816,2.502289
105,96,13440.0,13.440000,26.99653435,128,0,adaptive_v1,0,1,28.5190452406,16.2829611748,-0.0254156688372,26,1,0.959969130133,0.0400308698669,89.646128,2.502289
106,97,13568.0,13.568000,28.46373582,128,0,adaptive_v1,0,1,28.4306062641,16.2829611748,-0.0253003187973,27,1,0.960081469527,0.0399185304728,90.412127,2.502289
107,98,13696.0,13.696000,29.60373855,128,0,adaptive_v1,0,1,28.4306062641,16.2829611748,-0.0253003187973,27,1,0.959928690235,0.0400713097653,91.165421,2.502289
108,99,13824.0,13.824000,29.67059112,128,0,adaptive_v1,0,1,28.4306062641,16.2829611748,-0.0253003187973,27,1,0.959918487932,0.0400815120678,91.933588,2.502289
109,100,13952.0,13.952000,29.30705953,128,0,adaptive_v1,0,1,28.4306062641,16.2829611748,-0.0253003187973,27,1,0.960053246548,0.0399467534521,92.711182,2.502289
110,101,14080.0,14.080000,27.73708701,128,0,adaptive_v1,0,1,28.4955075427,16.2829611748,-0.0253850392971,28,1,0.959912486621,0.0400875133795,93.482781,2.502289
